Vendor Name,Invoice Number,Purchase Order (PO) ID,Payment Status,Discount Due Date,Asset ID,Asset Description,Acquisition Date,Depreciation Method,Useful Life (Years),Salvage Value
Quantum Electronics,INV-417212,PO-90173,Scheduled,2021-10-27,FF-0031,Chair,2021-09-27,Straight-Line,10,28802.73
Silverline Insurance,INV-878480,PO-82512,Pending,2025-04-20,IT-0032,Server,2025-03-21,Sum-of-Years-Digits,7,5642.77
Evergreen Facilities,INV-629959,PO-74032,Overdue,2025-10-28,FF-0033,Chair,2025-10-13,Straight-Line,20,29672.94
Summit Logistics,INV-768061,PO-44335,Pending,2026-03-28,FF-0034,Desk,2026-02-11,Units of Production,3,14568.67
Granite Construction,INV-824586,PO-29536,Scheduled,2027-01-14,BL-0035,Office Renovation,2026-11-30,Straight-Line,3,3878.11
Harbor Freight Supplies,INV-934794,PO-15229,Overdue,2023-03-08,EQ-0036,Compressor,2023-02-21,Double Declining Balance,3,8512.76
Silverline Insurance,INV-348237,PO-31299,Pending,2021-10-29,FF-0037,Conference Table,2021-10-19,Units of Production,15,14414.93
Acme Office Supplies,INV-213346,PO-60140,Paid,2021-02-03,EQ-0038,Compressor,2021-01-04,Units of Production,7,7099.46
Cornerstone IT,INV-302511,PO-62227,Overdue,2021-05-12,FF-0039,Filing Cabinet,2021-03-28,Sum-of-Years-Digits,5,3156.11
Crestview Landscaping,INV-128941,PO-25118,Overdue,2019-11-11,FF-0040,Conference Table,2019-10-12,Double Declining Balance,20,28911.64
Apex Janitorial,INV-428914,PO-67199,Scheduled,2022-01-02,IT-0041,Router,2021-12-23,MACRS,10,14513.59
Greenfield Energy,INV-945687,PO-80575,Pending,2023-05-12,FF-0042,Desk,2023-04-27,Sum-of-Years-Digits,20,5769.58
Ironclad Security,INV-414910,PO-76469,Overdue,2019-11-13,BL-0043,Warehouse Expansion,2019-10-14,Units of Production,20,15305.12
Horizon Telecom,INV-497562,PO-98777,Pending,2023-08-06,BL-0044,Office Renovation,2023-07-07,MACRS,5,16578.7
Apex Janitorial,INV-923927,PO-86019,Scheduled,2022-07-01,BL-0045,Office Renovation,2022-05-17,Sum-of-Years-Digits,7,6172.6
BlueSky Marketing,INV-397571,PO-77561,Scheduled,2024-01-29,VH-0046,Company Car,2023-12-15,Sum-of-Years-Digits,20,6694.71
Summit Logistics,INV-598216,PO-90120,Paid,2021-09-19,VH-0047,Van,2021-08-20,Units of Production,5,392.95
Ironclad Security,INV-821024,PO-10726,Paid,2026-02-07,EQ-0048,HVAC Unit,2026-01-23,Units of Production,10,4649.8
Cornerstone IT,INV-578634,PO-27477,Partial,2021-02-04,IT-0049,Router,2020-12-21,MACRS,5,42718.95
Granite Construction,INV-879779,PO-72216,Partial,2025-10-04,EQ-0050,HVAC Unit,2025-09-04,Sum-of-Years-Digits,15,21668.54
Phoenix Data Centers,INV-181247,PO-47450,Pending,2021-11-08,BL-0051,Warehouse Expansion,2021-10-09,Sum-of-Years-Digits,20,5764.64
Horizon Telecom,INV-840734,PO-38043,Paid,2022-08-12,VH-0052,Van,2022-08-02,Units of Production,5,15549.47
Ironclad Security,INV-907189,PO-86556,Paid,2022-11-01,EQ-0053,Generator,2022-09-17,MACRS,5,24733.29
Nexus Software,INV-976325,PO-64921,Scheduled,2024-05-17,FF-0054,Filing Cabinet,2024-05-07,MACRS,10,41200.68
Keystone Legal Services,INV-507746,PO-54057,Partial,2025-10-21,EQ-0055,Compressor,2025-10-06,Double Declining Balance,7,14096.74
Harbor Freight Supplies,INV-691807,PO-96900,Paid,2024-04-13,BL-0056,Parking Lot,2024-03-29,Straight-Line,3,25993.25
Metro Print & Copy,INV-321941,PO-69598,Overdue,2023-11-06,EQ-0057,Compressor,2023-10-22,Sum-of-Years-Digits,3,7341.45
Phoenix Data Centers,INV-665621,PO-16826,Overdue,2023-05-02,EQ-0058,CNC Machine,2023-04-02,Double Declining Balance,3,6549.31
Metro Print & Copy,INV-259784,PO-41266,Pending,2019-10-19,IT-0059,Server,2019-10-09,Units of Production,5,11698.96
Silverline Insurance,INV-884256,PO-25012,Pending,2020-04-28,EQ-0060,CNC Machine,2020-04-13,Sum-of-Years-Digits,7,6267.08
Greenfield Energy,INV-179688,PO-87607,Pending,2025-07-08,FF-0061,Conference Table,2025-06-28,Straight-Line,10,38888.47
Trident HVAC Systems,INV-488571,PO-19038,Scheduled,2022-05-30,BL-0062,Office Renovation,2022-05-20,Sum-of-Years-Digits,7,16013.65
Acme Office Supplies,INV-582071,PO-30052,Partial,2023-11-01,IT-0063,Printer,2023-09-17,Double Declining Balance,7,30704.9
Oasis Water Services,INV-866536,PO-87656,Overdue,2024-12-07,BL-0064,Parking Lot,2024-11-07,Sum-of-Years-Digits,10,14112.88
Crestview Landscaping,INV-739979,PO-97580,Partial,2021-10-12,FF-0065,Conference Table,2021-10-02,Sum-of-Years-Digits,5,23609.91
Acme Office Supplies,INV-456871,PO-46655,Scheduled,2024-08-16,VH-0066,Company Car,2024-07-17,Sum-of-Years-Digits,5,15867.14
Granite Construction,INV-894993,PO-41499,Partial,2019-02-26,IT-0067,Server,2019-02-11,Units of Production,20,13196.85
BlueSky Marketing,INV-796212,PO-86225,Overdue,2019-03-22,FF-0068,Chair,2019-03-12,Units of Production,10,15729.0
Granite Construction,INV-421517,PO-42951,Pending,2025-01-13,EQ-0069,CNC Machine,2024-12-14,Straight-Line,7,21811.8
Oasis Water Services,INV-294143,PO-35105,Pending,2021-03-29,IT-0070,Switch,2021-02-27,Units of Production,15,41043.66
Vanguard Equipment Co,INV-416950,PO-11854,Scheduled,2025-09-10,IT-0071,Server,2025-08-11,Double Declining Balance,7,6261.78
Vanguard Equipment Co,INV-889359,PO-74340,Paid,2019-07-16,BL-0072,Warehouse Expansion,2019-07-06,Straight-Line,20,17096.7
Apex Janitorial,INV-364742,PO-72616,Paid,2022-04-24,EQ-0073,HVAC Unit,2022-03-10,Straight-Line,7,9513.09
Nexus Software,INV-950544,PO-83772,Overdue,2024-07-17,BL-0074,Parking Lot,2024-07-07,Straight-Line,20,1058.86
Cornerstone IT,INV-498855,PO-69049,Partial,2020-06-14,BL-0075,Parking Lot,2020-04-30,Sum-of-Years-Digits,15,9925.01
Crestview Landscaping,INV-899787,PO-37235,Pending,2025-09-21,FF-0076,Desk,2025-08-07,Sum-of-Years-Digits,15,12620.72
Silverline Insurance,INV-528361,PO-69048,Scheduled,2019-12-14,VH-0077,Van,2019-11-29,Units of Production,15,1482.6
Evergreen Facilities,INV-820775,PO-40595,Overdue,2019-05-29,FF-0078,Filing Cabinet,2019-05-14,MACRS,20,26672.77
Silverline Insurance,INV-378535,PO-28643,Paid,2021-05-05,IT-0079,Router,2021-03-21,Straight-Line,5,12318.98
Atlas Cloud Services,INV-522060,PO-45683,Scheduled,2022-07-13,EQ-0080,Generator,2022-06-13,MACRS,10,17309.14
Pacific Fleet Services,INV-362529,PO-13390,Paid,2023-12-09,BL-0081,Office Renovation,2023-11-29,Double Declining Balance,10,18986.42
Silverline Insurance,INV-563711,PO-46458,Pending,2025-06-24,FF-0082,Desk,2025-06-14,MACRS,5,15832.02
Ironclad Security,INV-802685,PO-23710,Pending,2026-03-30,IT-0083,Printer,2026-02-13,Sum-of-Years-Digits,7,10754.2
Ironclad Security,INV-429795,PO-43082,Overdue,2026-11-26,FF-0084,Conference Table,2026-10-12,Straight-Line,15,1196.31
Phoenix Data Centers,INV-479353,PO-91609,Partial,2023-07-24,BL-0085,Warehouse Expansion,2023-07-14,Units of Production,10,1149.32
Phoenix Data Centers,INV-608257,PO-25915,Paid,2019-08-15,FF-0086,Chair,2019-07-31,MACRS,7,21008.17
Keystone Legal Services,INV-982277,PO-24871,Partial,2021-09-22,FF-0087,Desk,2021-09-07,Straight-Line,15,6874.93
Metro Print & Copy,INV-595158,PO-41946,Partial,2020-11-06,FF-0088,Filing Cabinet,2020-09-22,MACRS,10,26838.9
Pinnacle Manufacturing,INV-173201,PO-46208,Partial,2023-05-06,BL-0089,Parking Lot,2023-04-21,Sum-of-Years-Digits,20,16280.72
Bridgeport Packaging,INV-708093,PO-96499,Partial,2024-10-10,IT-0090,Monitor,2024-09-10,Double Declining Balance,20,13832.64
BlueSky Marketing,INV-577463,PO-52176,Pending,2025-03-01,FF-0091,Filing Cabinet,2025-01-15,Double Declining Balance,15,26366.29
Apex Janitorial,INV-950823,PO-59968,Partial,2023-05-03,EQ-0092,Generator,2023-04-18,Double Declining Balance,7,23671.52
Pacific Fleet Services,INV-986088,PO-67711,Paid,2019-06-16,BL-0093,Parking Lot,2019-06-01,MACRS,7,14864.09
Bridgeport Packaging,INV-919488,PO-44737,Overdue,2024-02-25,VH-0094,Company Car,2024-02-15,MACRS,20,2507.99
Trident HVAC Systems,INV-896290,PO-73956,Scheduled,2023-06-27,FF-0095,Conference Table,2023-06-17,Straight-Line,7,26008.43
Catalyst Training Group,INV-203225,PO-93066,Paid,2019-10-23,FF-0096,Chair,2019-10-08,Units of Production,20,2784.4
Atlas Cloud Services,INV-475876,PO-59131,Partial,2026-11-12,IT-0097,Laptop,2026-10-13,Double Declining Balance,7,12221.26
Cornerstone IT,INV-739098,PO-60140,Scheduled,2025-01-29,BL-0098,Parking Lot,2024-12-15,Double Declining Balance,5,3436.29
Pacific Fleet Services,INV-799233,PO-11231,Partial,2025-07-31,VH-0099,Company Car,2025-07-16,Sum-of-Years-Digits,20,7977.96
Silverline Insurance,INV-544920,PO-42780,Partial,2025-03-03,IT-0100,Printer,2025-02-16,Sum-of-Years-Digits,7,14660.56
Meridian Consulting,INV-410244,PO-48696,Paid,2023-06-09,IT-0101,Server,2023-04-25,Units of Production,10,15620.82
Vanguard Equipment Co,INV-400096,PO-40162,Scheduled,2019-02-13,BL-0102,Parking Lot,2019-02-03,Sum-of-Years-Digits,10,40618.65
Cornerstone IT,INV-791201,PO-99241,Pending,2026-03-07,BL-0103,Warehouse Expansion,2026-02-20,Straight-Line,20,31401.71
Quantum Electronics,INV-237795,PO-21813,Overdue,2026-01-24,FF-0104,Conference Table,2026-01-14,Sum-of-Years-Digits,3,15963.97
Oasis Water Services,INV-656639,PO-75771,Overdue,2023-09-13,VH-0105,Van,2023-08-29,Double Declining Balance,15,45066.89
Vanguard Equipment Co,INV-336574,PO-98647,Partial,2024-06-26,FF-0106,Desk,2024-05-27,MACRS,10,1439.27
Sterling Furniture,INV-805511,PO-98125,Overdue,2020-02-19,IT-0107,Monitor,2020-01-05,MACRS,15,3889.13
Nexus Software,INV-688678,PO-52992,Scheduled,2026-03-30,IT-0108,Switch,2026-02-28,Double Declining Balance,5,6670.51
Metro Print & Copy,INV-139019,PO-49893,Partial,2019-10-31,FF-0109,Conference Table,2019-09-16,Straight-Line,3,2109.68
Greenfield Energy,INV-830316,PO-80804,Partial,2021-09-03,EQ-0110,HVAC Unit,2021-08-19,MACRS,7,33914.26
Oasis Water Services,INV-393328,PO-14288,Overdue,2020-11-08,IT-0111,Printer,2020-09-24,Double Declining Balance,15,20514.37
BlueSky Marketing,INV-776149,PO-57012,Paid,2024-01-11,FF-0112,Desk,2023-12-27,Units of Production,20,12744.85
Vanguard Equipment Co,INV-726152,PO-12799,Paid,2021-02-26,EQ-0113,Generator,2021-02-16,Sum-of-Years-Digits,20,8205.24
Cornerstone IT,INV-344316,PO-53064,Pending,2020-06-14,IT-0114,Router,2020-05-30,MACRS,5,12706.27
Acme Office Supplies,INV-127032,PO-27275,Paid,2022-02-24,VH-0115,Forklift,2022-02-09,Sum-of-Years-Digits,5,4372.73
Keystone Legal Services,INV-541409,PO-78955,Paid,2021-10-01,IT-0116,Server,2021-09-01,Straight-Line,7,982.48
Pacific Fleet Services,INV-744986,PO-15683,Scheduled,2024-02-10,BL-0117,Parking Lot,2024-01-11,Sum-of-Years-Digits,3,14942.26
BlueSky Marketing,INV-614084,PO-68138,Paid,2026-03-30,IT-0118,Printer,2026-03-20,Straight-Line,10,17163.9
Horizon Telecom,INV-674993,PO-52622,Partial,2025-11-11,IT-0119,Server,2025-10-27,MACRS,7,23797.03
Redwood Analytics,INV-219971,PO-95814,Scheduled,2022-06-06,BL-0120,Parking Lot,2022-04-22,Double Declining Balance,10,4477.39
Ironclad Security,INV-199704,PO-50966,Partial,2024-02-08,EQ-0121,CNC Machine,2024-01-24,Sum-of-Years-Digits,10,11804.53
Silverline Insurance,INV-197758,PO-66606,Paid,2021-12-10,VH-0122,Company Car,2021-11-10,Sum-of-Years-Digits,3,4266.73
Keystone Legal Services,INV-530764,PO-56346,Partial,2020-06-26,BL-0123,Parking Lot,2020-06-16,Straight-Line,15,13080.73
Evergreen Facilities,INV-788637,PO-73201,Pending,2025-10-25,FF-0124,Desk,2025-09-25,Straight-Line,15,10936.32
Sterling Furniture,INV-986209,PO-83526,Scheduled,2025-04-27,IT-0125,Monitor,2025-03-28,MACRS,15,10228.38
Silverline Insurance,INV-386544,PO-50499,Overdue,2026-03-27,BL-0126,Parking Lot,2026-03-17,Sum-of-Years-Digits,20,3837.1
Acme Office Supplies,INV-763928,PO-14018,Paid,2021-01-28,BL-0127,Parking Lot,2021-01-13,MACRS,10,1335.88
Meridian Consulting,INV-440140,PO-84395,Scheduled,2023-05-05,EQ-0128,CNC Machine,2023-03-21,Straight-Line,5,9433.37
Quantum Electronics,INV-794093,PO-65576,Partial,2019-08-19,VH-0129,Truck,2019-08-04,MACRS,20,1987.59
BlueSky Marketing,INV-811163,PO-98930,Scheduled,2023-09-23,VH-0130,Truck,2023-08-24,Units of Production,7,7542.84
Redwood Analytics,INV-314353,PO-49507,Pending,2026-07-25,IT-0131,Server,2026-06-25,Double Declining Balance,10,9175.57
Phoenix Data Centers,INV-284229,PO-26932,Partial,2021-12-12,FF-0132,Desk,2021-11-12,MACRS,3,21210.35
Trident HVAC Systems,INV-582087,PO-20205,Overdue,2021-08-30,IT-0133,Printer,2021-07-31,MACRS,20,1337.75
Ironclad Security,INV-440544,PO-32527,Scheduled,2025-07-21,EQ-0134,CNC Machine,2025-06-06,Units of Production,3,5667.53
Harbor Freight Supplies,INV-519902,PO-78676,Paid,2026-10-25,IT-0135,Printer,2026-09-25,Units of Production,3,7415.14
Crestview Landscaping,INV-219565,PO-79547,Scheduled,2022-07-24,VH-0136,Forklift,2022-06-24,Double Declining Balance,5,2597.52
Quantum Electronics,INV-281926,PO-88957,Pending,2023-01-01,VH-0137,Van,2022-12-02,Straight-Line,3,3437.6
Atlas Cloud Services,INV-774225,PO-93269,Scheduled,2026-03-02,EQ-0138,HVAC Unit,2026-01-16,Sum-of-Years-Digits,20,44257.08
Crestview Landscaping,INV-417530,PO-46002,Scheduled,2026-02-12,VH-0139,Company Car,2026-01-13,Straight-Line,3,14358.06
Sterling Furniture,INV-972097,PO-47627,Paid,2024-09-19,FF-0140,Conference Table,2024-09-09,Straight-Line,10,606.29
Catalyst Training Group,INV-783501,PO-34672,Overdue,2025-10-14,EQ-0141,Generator,2025-08-30,MACRS,10,40947.78
Pacific Fleet Services,INV-460120,PO-21053,Scheduled,2024-08-30,IT-0142,Printer,2024-08-15,Double Declining Balance,3,39393.74
TechVault Solutions,INV-506235,PO-63578,Overdue,2021-11-25,EQ-0143,Compressor,2021-10-11,MACRS,7,18438.72
TechVault Solutions,INV-397949,PO-43029,Scheduled,2026-02-27,IT-0144,Monitor,2026-01-28,Double Declining Balance,3,22272.75
Horizon Telecom,INV-235215,PO-87993,Paid,2019-12-15,FF-0145,Filing Cabinet,2019-11-30,Sum-of-Years-Digits,20,27415.5
Granite Construction,INV-479404,PO-12389,Overdue,2023-04-22,VH-0146,Truck,2023-03-23,Sum-of-Years-Digits,20,20006.99
Atlas Cloud Services,INV-410160,PO-23256,Scheduled,2021-06-26,EQ-0147,Compressor,2021-05-27,MACRS,5,2677.79
Harbor Freight Supplies,INV-289630,PO-91885,Pending,2024-12-06,FF-0148,Chair,2024-11-26,Units of Production,15,7259.23
TechVault Solutions,INV-921874,PO-68841,Pending,2023-09-09,VH-0149,Company Car,2023-08-10,MACRS,15,12245.67
Cornerstone IT,INV-561999,PO-70513,Overdue,2022-08-05,VH-0150,Forklift,2022-06-21,Units of Production,20,33725.88
Redwood Analytics,INV-154714,PO-94040,Partial,2025-01-14,VH-0151,Van,2024-11-30,Sum-of-Years-Digits,15,6655.35
Granite Construction,INV-638289,PO-29313,Partial,2020-03-06,FF-0152,Desk,2020-02-25,Straight-Line,5,8453.82
Bridgeport Packaging,INV-492127,PO-40903,Partial,2021-08-12,FF-0153,Desk,2021-06-28,Straight-Line,10,1582.91
Sterling Furniture,INV-253143,PO-28035,Paid,2021-07-18,FF-0154,Desk,2021-07-08,Sum-of-Years-Digits,20,17138.46
Bridgeport Packaging,INV-119927,PO-43544,Pending,2024-05-04,EQ-0155,HVAC Unit,2024-04-19,Double Declining Balance,15,348.71
Granite Construction,INV-350021,PO-65027,Scheduled,2025-12-13,IT-0156,Monitor,2025-10-29,Units of Production,5,5424.22
Summit Logistics,INV-353690,PO-28818,Overdue,2020-05-14,BL-0157,Parking Lot,2020-03-30,Units of Production,3,21153.61
Acme Office Supplies,INV-648913,PO-57265,Paid,2025-12-23,VH-0158,Company Car,2025-11-23,MACRS,5,26239.56
Granite Construction,INV-491435,PO-43246,Paid,2024-09-19,EQ-0159,HVAC Unit,2024-09-09,Sum-of-Years-Digits,3,18056.18
Keystone Legal Services,INV-239890,PO-15811,Overdue,2019-11-03,VH-0160,Truck,2019-10-04,MACRS,15,31592.48
Horizon Telecom,INV-166165,PO-69988,Paid,2026-04-01,EQ-0161,HVAC Unit,2026-03-17,Sum-of-Years-Digits,20,8291.38
Meridian Consulting,INV-955015,PO-81176,Partial,2019-07-14,IT-0162,Monitor,2019-06-29,Sum-of-Years-Digits,7,14880.32
TechVault Solutions,INV-386488,PO-26315,Overdue,2026-04-18,FF-0163,Filing Cabinet,2026-04-03,Units of Production,3,33746.34
Quantum Electronics,INV-485191,PO-78062,Overdue,2023-08-11,EQ-0164,CNC Machine,2023-06-27,Straight-Line,5,20083.93
Oasis Water Services,INV-183958,PO-52981,Overdue,2023-10-15,EQ-0165,Compressor,2023-10-05,Sum-of-Years-Digits,15,7609.97
BlueSky Marketing,INV-469685,PO-90589,Partial,2025-11-18,VH-0166,Company Car,2025-10-04,Sum-of-Years-Digits,7,6633.46
Metro Print & Copy,INV-267758,PO-14081,Pending,2019-09-02,EQ-0167,CNC Machine,2019-08-23,MACRS,15,34203.35
Silverline Insurance,INV-479742,PO-60181,Scheduled,2023-12-10,VH-0168,Truck,2023-11-30,Straight-Line,5,30027.55
Catalyst Training Group,INV-244383,PO-79397,Overdue,2020-11-04,FF-0169,Filing Cabinet,2020-09-20,Units of Production,10,12339.67
Horizon Telecom,INV-642895,PO-60723,Scheduled,2026-05-14,VH-0170,Truck,2026-04-14,Straight-Line,3,15063.51
Vanguard Equipment Co,INV-309902,PO-26074,Pending,2022-01-16,VH-0171,Forklift,2021-12-02,Straight-Line,20,48100.28
BlueSky Marketing,INV-168093,PO-82089,Scheduled,2021-01-22,IT-0172,Switch,2020-12-08,Sum-of-Years-Digits,7,17928.12
Quantum Electronics,INV-310743,PO-28202,Pending,2022-05-28,VH-0173,Forklift,2022-05-13,Units of Production,15,4043.36
Acme Office Supplies,INV-424314,PO-62187,Partial,2023-02-17,EQ-0174,Compressor,2023-01-18,MACRS,15,14619.12
Ironclad Security,INV-813145,PO-77811,Overdue,2023-08-15,VH-0175,Forklift,2023-08-05,Double Declining Balance,20,2342.99
Quantum Electronics,INV-971776,PO-26274,Scheduled,2025-03-23,VH-0176,Company Car,2025-03-08,Double Declining Balance,15,43118.1
Evergreen Facilities,INV-397846,PO-20336,Overdue,2020-11-20,FF-0177,Chair,2020-11-05,Double Declining Balance,7,47569.26
Metro Print & Copy,INV-772124,PO-32103,Scheduled,2025-04-05,VH-0178,Forklift,2025-03-06,MACRS,15,8984.27
Pinnacle Manufacturing,INV-772612,PO-85598,Overdue,2021-01-01,BL-0179,Office Renovation,2020-12-02,Double Declining Balance,3,1238.21
Phoenix Data Centers,INV-672079,PO-47967,Overdue,2025-07-16,BL-0180,Parking Lot,2025-06-01,Units of Production,3,24029.24
Cornerstone IT,INV-560959,PO-64476,Partial,2026-10-21,FF-0181,Conference Table,2026-09-06,Units of Production,3,10677.52
Meridian Consulting,INV-518084,PO-27139,Overdue,2022-11-09,FF-0182,Filing Cabinet,2022-10-25,MACRS,20,23023.03
Granite Construction,INV-247720,PO-22689,Paid,2020-04-09,VH-0183,Company Car,2020-03-10,Sum-of-Years-Digits,3,8293.1
Nexus Software,INV-427905,PO-34881,Pending,2026-01-09,VH-0184,Van,2025-11-25,Units of Production,7,33517.85
Redwood Analytics,INV-629996,PO-69930,Pending,2024-05-11,FF-0185,Conference Table,2024-03-27,Double Declining Balance,3,4622.98
Apex Janitorial,INV-786041,PO-98148,Partial,2022-12-26,IT-0186,Monitor,2022-12-16,Sum-of-Years-Digits,10,28653.71
Granite Construction,INV-522842,PO-57964,Paid,2019-02-13,EQ-0187,Compressor,2019-02-03,Units of Production,7,20051.66
TechVault Solutions,INV-901535,PO-82070,Overdue,2025-06-08,FF-0188,Filing Cabinet,2025-05-24,MACRS,3,12787.34
Silverline Insurance,INV-455556,PO-83116,Overdue,2025-11-17,VH-0189,Truck,2025-11-07,Double Declining Balance,10,16641.01
Meridian Consulting,INV-449218,PO-72094,Scheduled,2025-11-17,BL-0190,Office Renovation,2025-10-03,Units of Production,3,755.01
Pinnacle Manufacturing,INV-875232,PO-49221,Scheduled,2025-11-03,FF-0191,Filing Cabinet,2025-10-19,Sum-of-Years-Digits,5,20556.3
Redwood Analytics,INV-447329,PO-98317,Paid,2024-11-02,BL-0192,Warehouse Expansion,2024-09-18,Units of Production,10,11252.05
Apex Janitorial,INV-913864,PO-85821,Scheduled,2022-06-24,BL-0193,Warehouse Expansion,2022-06-14,Double Declining Balance,7,28859.03
Oasis Water Services,INV-133104,PO-85047,Paid,2019-09-13,VH-0194,Company Car,2019-07-30,Double Declining Balance,5,32839.28
Acme Office Supplies,INV-626195,PO-90147,Partial,2024-01-11,EQ-0195,Compressor,2023-12-12,Straight-Line,10,14626.76
Trident HVAC Systems,INV-428993,PO-32699,Partial,2020-08-03,BL-0196,Warehouse Expansion,2020-07-19,MACRS,20,16218.89
Horizon Telecom,INV-412999,PO-39473,Overdue,2025-03-17,FF-0197,Conference Table,2025-02-15,Sum-of-Years-Digits,5,5981.61
Trident HVAC Systems,INV-934042,PO-45842,Overdue,2021-06-13,FF-0198,Conference Table,2021-04-29,Straight-Line,7,28019.44
Apex Janitorial,INV-848831,PO-20358,Overdue,2026-09-17,EQ-0199,CNC Machine,2026-08-03,Units of Production,5,4315.6
Metro Print & Copy,INV-829988,PO-45601,Pending,2021-12-31,VH-0200,Van,2021-11-16,Straight-Line,15,13595.93
Catalyst Training Group,INV-768933,PO-40518,Paid,2025-08-15,VH-0201,Truck,2025-07-31,Straight-Line,20,30830.69
Ironclad Security,INV-265613,PO-63334,Partial,2022-10-29,IT-0202,Switch,2022-09-14,Units of Production,5,361.71
Metro Print & Copy,INV-193806,PO-95498,Scheduled,2021-04-26,FF-0203,Filing Cabinet,2021-03-27,Double Declining Balance,20,2980.72
Granite Construction,INV-619447,PO-34420,Overdue,2019-06-17,EQ-0204,Compressor,2019-06-02,Straight-Line,3,24068.5
Acme Office Supplies,INV-617904,PO-27589,Scheduled,2022-05-17,FF-0205,Filing Cabinet,2022-05-07,Units of Production,10,22172.17
Vanguard Equipment Co,INV-853504,PO-34405,Paid,2021-03-10,FF-0206,Chair,2021-02-28,Sum-of-Years-Digits,20,17787.08
